Q,Region,CBA,CBT
2010-04-01,cuyo,122690,308390
2010-04-01,gran_buenos_aires,137650,324990
2010-04-01,noreste,123210,272300
2010-04-01,noroeste,119540,261920
2010-04-01,pampeana,136340,321770
2010-04-01,patagonia,142080,380770
2010-05-01,cuyo,122690,308390
2010-05-01,gran_buenos_aires,137650,324990
2010-05-01,noreste,123210,272300
2010-05-01,noroeste,119540,261920
2010-05-01,pampeana,136340,321770
2010-05-01,patagonia,142080,380770
2010-06-01,cuyo,122690,308390
2010-06-01,gran_buenos_aires,137650,324990
2010-06-01,noreste,123210,272300
2010-06-01,noroeste,119540,261920
2010-06-01,pampeana,136340,321770
2010-06-01,patagonia,142080,380770
2010-07-01,cuyo,122690,308390
2010-07-01,gran_buenos_aires,137650,324990
2010-07-01,noreste,123210,272300
2010-07-01,noroeste,119540,261920
2010-07-01,pampeana,136340,321770
2010-07-01,patagonia,142080,380770
2010-08-01,cuyo,122690,308390
2010-08-01,gran_buenos_aires,137650,324990
2010-08-01,noreste,123210,272300
2010-08-01,noroeste,119540,261920
2010-08-01,pampeana,136340,321770
2010-08-01,patagonia,142080,380770
2010-09-01,cuyo,122690,308390
2010-09-01,gran_buenos_aires,137650,324990
2010-09-01,noreste,123210,272300
2010-09-01,noroeste,119540,261920
2010-09-01,pampeana,136340,321770
2010-09-01,patagonia,142080,380770
2010-10-01,cuyo,122690,308390
2010-10-01,gran_buenos_aires,137650,324990
2010-10-01,noreste,123210,272300
2010-10-01,noroeste,119540,261920
2010-10-01,pampeana,136340,321770
2010-10-01,patagonia,142080,380770
2010-11-01,cuyo,122690,308390
2010-11-01,gran_buenos_aires,137650,324990
2010-11-01,noreste,123210,272300
2010-11-01,noroeste,119540,261920
2010-11-01,pampeana,136340,321770
2010-11-01,patagonia,142080,380770
2010-12-01,cuyo,122690,308390
2010-12-01,gran_buenos_aires,137650,324990
2010-12-01,noreste,123210,272300
2010-12-01,noroeste,119540,261920
2010-12-01,pampeana,136340,321770
2010-12-01,patagonia,142080,380770
2011-01-01,cuyo,122690,308390
2011-01-01,gran_buenos_aires,137650,324990
2011-01-01,noreste,123210,272300
2011-01-01,noroeste,119540,261920
2011-01-01,pampeana,136340,321770
2011-01-01,patagonia,142080,380770
2011-02-01,cuyo,122690,308390
2011-02-01,gran_buenos_aires,137650,324990
2011-02-01,noreste,123210,272300
2011-02-01,noroeste,119540,261920
2011-02-01,pampeana,136340,321770
2011-02-01,patagonia,142080,380770
2011-03-01,cuyo,122690,308390
2011-03-01,gran_buenos_aires,137650,324990
2011-03-01,noreste,123210,272300
2011-03-01,noroeste,119540,261920
2011-03-01,pampeana,136340,321770
2011-03-01,patagonia,142080,380770
2011-04-01,cuyo,122690,308390
2011-04-01,gran_buenos_aires,137650,324990
2011-04-01,noreste,123210,272300
2011-04-01,noroeste,119540,261920
2011-04-01,pampeana,136340,321770
2011-04-01,patagonia,142080,380770
2011-05-01,cuyo,122690,308390
2011-05-01,gran_buenos_aires,137650,324990
2011-05-01,noreste,123210,272300
2011-05-01,noroeste,119540,261920
2011-05-01,pampeana,136340,321770
2011-05-01,patagonia,142080,380770
2011-06-01,cuyo,122690,308390
2011-06-01,gran_buenos_aires,137650,324990
2011-06-01,noreste,123210,272300
2011-06-01,noroeste,119540,261920
2011-06-01,pampeana,136340,321770
2011-06-01,patagonia,142080,380770
2011-07-01,cuyo,122690,308390
2011-07-01,gran_buenos_aires,137650,324990
2011-07-01,noreste,123210,272300
2011-07-01,noroeste,119540,261920
2011-07-01,pampeana,136340,321770
2011-07-01,patagonia,142080,380770
2011-08-01,cuyo,122690,308390
2011-08-01,gran_buenos_aires,137650,324990
2011-08-01,noreste,123210,272300
2011-08-01,noroeste,119540,261920
2011-08-01,pampeana,136340,321770
2011-08-01,patagonia,142080,380770
2011-09-01,cuyo,122690,308390
2011-09-01,gran_buenos_aires,137650,324990
2011-09-01,noreste,123210,272300
2011-09-01,noroeste,119540,261920
2011-09-01,pampeana,136340,321770
2011-09-01,patagonia,142080,380770
2011-10-01,cuyo,122690,308390
2011-10-01,gran_buenos_aires,137650,324990
2011-10-01,noreste,123210,272300
2011-10-01,noroeste,119540,261920
2011-10-01,pampeana,136340,321770
2011-10-01,patagonia,142080,380770
2011-11-01,cuyo,122690,308390
2011-11-01,gran_buenos_aires,137650,324990
2011-11-01,noreste,123210,272300
2011-11-01,noroeste,119540,261920
2011-11-01,pampeana,136340,321770
2011-11-01,patagonia,142080,380770
2011-12-01,cuyo,122690,308390
2011-12-01,gran_buenos_aires,137650,324990
2011-12-01,noreste,123210,272300
2011-12-01,noroeste,119540,261920
2011-12-01,pampeana,136340,321770
2011-12-01,patagonia,142080,380770
2012-01-01,cuyo,122690,308390
2012-01-01,gran_buenos_aires,137650,324990
2012-01-01,noreste,123210,272300
2012-01-01,noroeste,119540,261920
2012-01-01,pampeana,136340,321770
2012-01-01,patagonia,142080,380770
2012-02-01,cuyo,122690,308390
2012-02-01,gran_buenos_aires,137650,324990
2012-02-01,noreste,123210,272300
2012-02-01,noroeste,119540,261920
2012-02-01,pampeana,136340,321770
2012-02-01,patagonia,142080,380770
2012-03-01,cuyo,122690,308390
2012-03-01,gran_buenos_aires,137650,324990
2012-03-01,noreste,123210,272300
2012-03-01,noroeste,119540,261920
2012-03-01,pampeana,136340,321770
2012-03-01,patagonia,142080,380770
2012-04-01,cuyo,122690,308390
2012-04-01,gran_buenos_aires,137650,324990
2012-04-01,noreste,123210,272300
2012-04-01,noroeste,119540,261920
2012-04-01,pampeana,136340,321770
2012-04-01,patagonia,142080,380770
2012-05-01,cuyo,122690,308390
2012-05-01,gran_buenos_aires,137650,324990
2012-05-01,noreste,123210,272300
2012-05-01,noroeste,119540,261920
2012-05-01,pampeana,136340,321770
2012-05-01,patagonia,142080,380770
2012-06-01,cuyo,122690,308390
2012-06-01,gran_buenos_aires,137650,324990
2012-06-01,noreste,123210,272300
2012-06-01,noroeste,119540,261920
2012-06-01,pampeana,136340,321770
2012-06-01,patagonia,142080,380770
2012-07-01,cuyo,122690,308390
2012-07-01,gran_buenos_aires,137650,324990
2012-07-01,noreste,123210,272300
2012-07-01,noroeste,119540,261920
2012-07-01,pampeana,136340,321770
2012-07-01,patagonia,142080,380770
2012-08-01,cuyo,122690,308390
2012-08-01,gran_buenos_aires,137650,324990
2012-08-01,noreste,123210,272300
2012-08-01,noroeste,119540,261920
2012-08-01,pampeana,136340,321770
2012-08-01,patagonia,142080,380770
2012-09-01,cuyo,122690,308390
2012-09-01,gran_buenos_aires,137650,324990
2012-09-01,noreste,123210,272300
2012-09-01,noroeste,119540,261920
2012-09-01,pampeana,136340,321770
2012-09-01,patagonia,142080,380770
2012-10-01,cuyo,122690,308390
2012-10-01,gran_buenos_aires,137650,324990
2012-10-01,noreste,123210,272300
2012-10-01,noroeste,119540,261920
2012-10-01,pampeana,136340,321770
2012-10-01,patagonia,142080,380770
2012-11-01,cuyo,122690,308390
2012-11-01,gran_buenos_aires,137650,324990
