Q,Region,CBA_2016-01,CBT_2016-01,index,CBA_ARScorr,CBT_ARScorr,CBA_2022-12,CBT_2022-12
2010-05-15,cuyo,1227.3627684117912,3184.7771977502325,23.40256952720682,287,745,18345,47601
2010-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,23.40256952720682,323,786,20604,50217
2010-05-15,noreste,1232.130273205757,2811.8558949373987,23.40256952720682,288,658,18416,42027
2010-05-15,noroeste,1197.4449498245592,2708.834587450183,23.40256952720682,280,634,17898,40488
2010-05-15,pampeana,1366.1084763454912,3328.815534019302,23.40256952720682,320,779,20419,49754
2010-05-15,patagonia,1422.3866776697025,3935.376729360791,23.40256952720682,333,921,21260,58820
2010-08-15,cuyo,1227.3627684117912,3184.7771977502325,24.33973834174085,299,775,18345,47601
2010-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,24.33973834174085,336,818,20604,50217
2010-08-15,noreste,1232.130273205757,2811.8558949373987,24.33973834174085,300,684,18416,42027
2010-08-15,noroeste,1197.4449498245592,2708.834587450183,24.33973834174085,291,659,17898,40488
2010-08-15,pampeana,1366.1084763454912,3328.815534019302,24.33973834174085,333,810,20419,49754
2010-08-15,patagonia,1422.3866776697025,3935.376729360791,24.33973834174085,346,958,21260,58820
2010-11-15,cuyo,1227.3627684117912,3184.7771977502325,25.95760086532591,319,827,18345,47601
2010-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,25.95760086532591,358,872,20604,50217
2010-11-15,noreste,1232.130273205757,2811.8558949373987,25.95760086532591,320,730,18416,42027
2010-11-15,noroeste,1197.4449498245592,2708.834587450183,25.95760086532591,311,703,17898,40488
2010-11-15,pampeana,1366.1084763454912,3328.815534019302,25.95760086532591,355,864,20419,49754
2010-11-15,patagonia,1422.3866776697025,3935.376729360791,25.95760086532591,369,1022,21260,58820
2011-02-15,cuyo,1227.3627684117912,3184.7771977502325,27.1352542836564,333,864,18345,47601
2011-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,27.1352542836564,374,912,20604,50217
2011-02-15,noreste,1232.130273205757,2811.8558949373987,27.1352542836564,334,763,18416,42027
2011-02-15,noroeste,1197.4449498245592,2708.834587450183,27.1352542836564,325,735,17898,40488
2011-02-15,pampeana,1366.1084763454912,3328.815534019302,27.1352542836564,371,903,20419,49754
2011-02-15,patagonia,1422.3866776697025,3935.376729360791,27.1352542836564,386,1068,21260,58820
2011-05-15,cuyo,1227.3627684117912,3184.7771977502325,28.904242725142225,355,921,18345,47601
